subj_id,AudioTime,Count
1,2.261315,4
1,3.861315,3
47,1.898662,5
48,2.047982,3
3,3.370658,5
3,8.725328,8
2,2.346644,3
2,8.597324,3
3,1.493311,3
4,5.375987,3
1,3.327982,2
2,2.205896,4
5,0.8319955,3
5,6.890657,3
6,0.9599773,4
1,1.811157,4
31,1.834376,3
